data_giorno,volume,sentiment_medio,engagement_medio
2025-06-13,4594,0.04100036508441494,11.728776665215499
2025-06-09,3110,0.03208017737793519,10.366237942122186
2025-09-16,2193,0.04467492541083558,8.055175558595531
2025-09-23,2103,0.04227737563186624,5.414170233000475
2025-10-04,2028,0.03559439408483594,8.375739644970414
2025-05-18,2019,0.059399955994486525,11.142644873699851
2025-08-08,1822,0.04101264677189632,10.312843029637762
2025-09-09,1806,0.05432733372296931,9.927464008859358
2025-09-22,1591,0.04575255008498364,10.601508485229415
2025-09-17,1567,0.02302005228717692,6.349712827058073
2025-10-03,1547,0.0338944189339446,10.516483516483516
2025-10-02,1525,0.023455794812306495,13.095737704918033
2025-05-21,1411,0.04130621785977663,13.656980864635011
2025-03-18,1363,0.027877994980678462,9.949376375641966
2025-10-05,1339,0.02679466866191034,10.827483196415235
2025-05-20,1314,0.04496494761339021,8.613394216133942
2025-06-16,1310,0.0332377801268716,10.453435114503817
2025-10-06,1179,0.04488546687100875,8.021204410517388
2025-05-19,1159,0.0417821836057538,13.17946505608283
2025-09-11,1145,0.05686239166828297,12.015720524017468
2025-09-21,1110,0.047626336923658356,7.289189189189189
2025-07-29,1108,0.026489948430518634,11.73014440433213
2025-05-22,1105,0.02341694335013625,11.23891402714932
2025-10-13,1101,0.028374413548573403,6.138964577656676
2025-10-09,1069,0.047773123634943765,8.937324602432179
2024-11-08,1069,0.04902943877374252,12.974742750233863
2025-07-07,987,0.06672538391427703,4.988855116514691
2025-06-10,984,0.01836143571620125,12.367886178861788
2025-06-23,978,0.049609049198453596,9.430470347648262
2025-10-01,978,0.0436097929358136,11.813905930470348
2025-06-20,956,0.023793004948764625,18.976987447698743
2025-09-10,940,0.04343757010080149,9.80531914893617
2025-05-06,937,0.03612188912168902,9.338313767342584
2025-09-25,929,0.04411231509390821,7.839612486544672
2025-07-31,915,0.0471141198533519,9.927868852459016
2025-05-05,905,0.048597643779530124,14.514917127071824
2025-09-03,886,0.040048650257353095,16.573363431151243
2025-09-24,874,0.03779675373518337,7.3180778032036615
2025-07-26,873,0.040660212070361294,8.234822451317296
2025-08-05,866,0.040263633193730525,17.07852193995381
2025-07-25,865,0.037827241833311195,8.32485549132948
2025-09-02,862,0.05598439615782485,5.1705336426914155
2025-07-30,860,0.046410829874529005,8.067441860465117
